,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_model__dropout_rate,param_model__init_mode,param_model__init_recurrent,param_model__init_units,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,1245.8337005376816,3.810262975898243,10.643100094795226,2.754837123650796,32,15,0.2,glorot_uniform,glorot_uniform,17,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'glorot_uniform', 'model__init_units': 17}",0.9325757575757576,0.9982323232323232,0.9968434343434344,0.8957070707070707,0.9930555555555556,0.9991161616161616,0.9,0.9891414141414141,0.998989898989899,0.9786616161616162,0.9682323232323233,0.03995940637370638,75
1,1322.971200442314,32.32821193676485,29.662700152397157,14.923693458303307,32,15,0.2,glorot_uniform,glorot_uniform,30,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'glorot_uniform', 'model__init_units': 30}",0.9662878787878788,0.9960858585858586,0.9920454545454546,0.9598484848484848,0.9988636363636364,0.9922979797979798,0.969570707070707,0.997979797979798,0.9993686868686869,0.9917929292929293,0.9864141414141414,0.014282440738816692,56
2,1566.240100169182,101.92388659053923,47.485499429702756,18.58329628818809,32,15,0.2,glorot_uniform,glorot_uniform,60,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'glorot_uniform', 'model__init_units': 60}",0.982449494949495,0.9983585858585858,0.9996212121212121,0.9875,0.9998737373737374,1.0,0.9882575757575758,0.9983585858585858,0.9998737373737374,0.998989898989899,0.9953282828282829,0.006248915832912762,8
3,1363.1819997787475,72.84750992804055,52.88130025863647,26.784245252126148,32,15,0.2,glorot_uniform,orthogonal,17,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'orthogonal', 'model__init_units': 17}",0.9055555555555556,0.994570707070707,0.9936868686868687,0.8984848484848484,0.9963383838383838,0.998989898989899,0.9218434343434343,0.9868686868686869,0.9993686868686869,0.9534090909090909,0.9649116161616161,0.03930506883506207,77
4,1345.987800359726,123.33333969200565,42.14450075626373,14.341665445491254,32,15,0.2,glorot_uniform,orthogonal,30,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'orthogonal', 'model__init_units': 30}",0.9733585858585858,0.9972222222222222,0.9997474747474747,0.9630050505050505,0.9997474747474747,0.9952020202020202,0.9674242424242424,0.9957070707070707,0.9968434343434344,0.9906565656565657,0.9878914141414142,0.01349055155949716,50
5,1510.9105996847152,56.780196815305956,56.984599995613095,21.79835148828401,32,15,0.2,glorot_uniform,orthogonal,60,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'glorot_uniform', 'model__init_recurrent': 'orthogonal', 'model__init_units': 60}",0.9839646464646464,0.9991161616161616,1.0,0.9772727272727273,0.9997474747474747,0.9987373737373737,0.9910353535353535,0.9992424242424243,0.9991161616161616,0.9970959595959596,0.9945328282828283,0.007532293245524751,14
6,1347.4380998134613,54.75000109614568,49.87069990634918,16.538043561406656,32,15,0.2,he_uniform,glorot_uniform,17,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'he_uniform', 'model__init_recurrent': 'glorot_uniform', 'model__init_units': 17}",0.947979797979798,0.9977272727272727,0.9982323232323232,0.9228535353535353,0.9974747474747475,0.9921717171717171,0.9277777777777778,0.9882575757575758,0.9968434343434344,0.9627525252525253,0.9732070707070708,0.028820633058786075,69
7,1377.4132005214692,130.608212600871,53.20860042572021,21.98387976305418,32,15,0.2,he_uniform,glorot_uniform,30,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'he_uniform', 'model__init_recurrent': 'glorot_uniform', 'model__init_units': 30}",0.9704545454545455,0.9987373737373737,0.9996212121212121,0.9726010101010101,1.0,0.9950757575757576,0.9713383838383839,0.996969696969697,0.9970959595959596,0.9957070707070707,0.9897601010101009,0.012077262758471785,39
8,1715.0257005929948,140.12658375492228,42.18189928531647,17.332723165882946,32,15,0.2,he_uniform,glorot_uniform,60,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'he_uniform', 'model__init_recurrent': 'glorot_uniform', 'model__init_units': 60}",0.9838383838383838,1.0,1.0,0.9867424242424242,1.0,0.9872474747474748,0.9893939393939394,0.9967171717171717,0.9998737373737374,0.9984848484848485,0.9942297979797979,0.006262689902739543,18
9,1347.335099720955,151.88932222074058,39.94329979419708,12.568601270231976,32,15,0.2,he_uniform,orthogonal,17,"{'batch_size': 32, 'epochs': 15, 'model__dropout_rate': 0.2, 'model__init_mode': 'he_uniform', 'model__init_recurrent': 'orthogonal', 'model__init_units': 17}",0.946590909090909,0.9924242424242424,0.9832070707070707,0.9172979797979798,0.9997474747474747,0.991540404040404,0.9178030303030303,0.9926767676767677,0.9992424242424243,0.964520202020202,0.9705050505050504,0.03077827047571348,71
